Hour,Load [W],Flow Rate [m3/s]
1,10000,0.000303
2,10000,0.000303
3,10000,0.000303
4,10000,0.000303
5,10000,0.000303
6,10000,0.000303
7,10000,0.000303
8,10000,0.000303
9,10000,0.000303
10,10000,0.000303
11,10000,0.000303
12,10000,0.000303
13,10000,0.000303
14,10000,0.000303
15,10000,0.000303
16,10000,0.000303
17,10000,0.000303
18,10000,0.000303
19,10000,0.000303
20,10000,0.000303
21,10000,0.000303
22,10000,0.000303
23,10000,0.000303
24,10000,0.000303
25,10000,0.000303
26,10000,0.000303
27,10000,0.000303
28,10000,0.000303
29,10000,0.000303
30,10000,0.000303
31,10000,0.000303
32,10000,0.000303
33,10000,0.000303
34,10000,0.000303
35,10000,0.000303
36,10000,0.000303
37,10000,0.000303
38,10000,0.000303
39,10000,0.000303
40,10000,0.000303
41,10000,0.000303
42,10000,0.000303
43,10000,0.000303
44,10000,0.000303
45,10000,0.000303
46,10000,0.000303
47,10000,0.000303
48,10000,0.000303
49,10000,0.000303
50,10000,0.000303
51,10000,0.000303
52,10000,0.000303
53,10000,0.000303
54,10000,0.000303
55,10000,0.000303
56,10000,0.000303
57,10000,0.000303
58,10000,0.000303
59,10000,0.000303
60,10000,0.000303
61,10000,0.000303
62,10000,0.000303
63,10000,0.000303
64,10000,0.000303
65,10000,0.000303
66,10000,0.000303
67,10000,0.000303
68,10000,0.000303
69,10000,0.000303
70,10000,0.000303
71,10000,0.000303
72,10000,0.000303
73,10000,0.000303
74,10000,0.000303
75,10000,0.000303
76,10000,0.000303
77,10000,0.000303
78,10000,0.000303
79,10000,0.000303
80,10000,0.000303
81,10000,0.000303
82,10000,0.000303
83,10000,0.000303
84,10000,0.000303
85,10000,0.000303
86,10000,0.000303
87,10000,0.000303
88,10000,0.000303
89,10000,0.000303
90,10000,0.000303
91,10000,0.000303
92,10000,0.000303
93,10000,0.000303
94,10000,0.000303
95,10000,0.000303
96,10000,0.000303
97,10000,0.000303
98,10000,0.000303
99,10000,0.000303
100,10000,0.000303
101,10000,0.000303
102,10000,0.000303
103,10000,0.000303
104,10000,0.000303
105,10000,0.000303
106,10000,0.000303
107,10000,0.000303
108,10000,0.000303
109,10000,0.000303
110,10000,0.000303
111,10000,0.000303
112,10000,0.000303
113,10000,0.000303
114,10000,0.000303
115,10000,0.000303
116,10000,0.000303
117,10000,0.000303
118,10000,0.000303
119,10000,0.000303
120,10000,0.000303
121,10000,0.000303
122,10000,0.000303
123,10000,0.000303
124,10000,0.000303
125,10000,0.000303
126,10000,0.000303
127,10000,0.000303
128,10000,0.000303
129,10000,0.000303
130,10000,0.000303
131,10000,0.000303
132,10000,0.000303
133,10000,0.000303
134,10000,0.000303
135,10000,0.000303
136,10000,0.000303
137,10000,0.000303
138,10000,0.000303
139,10000,0.000303
140,10000,0.000303
141,10000,0.000303
142,10000,0.000303
