Hour,Total Load [W],Total Flow Rate [m3/s]
1,7.172585352,0.000505
2,14.34516701,0.000505
3,21.5177413,0.000505
4,28.69030451,0.000505
5,35.86285296,0.000505
6,43.03538296,0.000505
7,50.20789082,0.000505
8,57.38037286,0.000505
9,64.55282537,0.000505
10,71.72524467,0.000505
11,78.89762707,0.000505
12,86.06996889,0.000505
13,93.24226642,0.000505
14,100.414516,0.000505
15,107.5867139,0.000505
16,114.7588564,0.000505
17,121.93094,0.000505
18,129.1029608,0.000505
19,136.2749151,0.000505
20,143.4467994,0.000505
21,150.6186098,0.000505
22,157.7903428,0.000505
23,164.9619946,0.000505
24,172.1335616,0.000505
25,179.3050399,0.000505
26,186.4764261,0.000505
27,193.6477163,0.000505
28,200.8189068,0.000505
29,207.9899941,0.000505
30,215.1609744,0.000505
31,222.3318439,0.000505
32,229.5025991,0.000505
33,236.6732362,0.000505
34,243.8437516,0.000505
35,251.0141415,0.000505
36,258.1844023,0.000505
37,265.3545302,0.000505
38,272.5245217,0.000505
39,279.6943729,0.000505
40,286.8640802,0.000505
41,294.03364,0.000505
42,301.2030485,0.000505
43,308.372302,0.000505
44,315.5413969,0.000505
45,322.7103294,0.000505
46,329.879096,0.000505
47,337.0476928,0.000505
48,344.2161162,0.000505
49,351.3843626,0.000505
50,358.5524281,0.000505
51,365.7203092,0.000505
52,372.8880022,0.000505
53,380.0555033,0.000505
54,387.2228089,0.000505
55,394.3899153,0.000505
56,401.5568188,0.000505
57,408.7235157,0.000505
58,415.8900023,0.000505
59,423.056275,0.000505
60,430.22233,0.000505
61,437.3881637,0.000505
62,444.5537724,0.000505
63,451.7191524,0.000505
64,458.8843,0.000505
65,466.0492115,0.000505
66,473.2138832,0.000505
67,480.3783115,0.000505
68,487.5424927,0.000505
69,494.706423,0.000505
70,501.8700988,0.000505
71,509.0335165,0.000505
72,516.1966722,0.000505
73,523.3595624,0.000505
74,530.5221834,0.000505
75,537.6845314,0.000505
76,544.8466028,0.000505
77,552.0083939,0.000505
78,559.169901,0.000505
79,566.3311204,0.000505
80,573.4920485,0.000505
81,580.6526816,0.000505
82,587.8130159,0.000505
83,594.9730478,0.000505
84,602.1327737,0.000505
85,609.2921897,0.000505
86,616.4512923,0.000505
87,623.6100778,0.000505
88,630.7685424,0.000505
89,637.9266825,0.000505
90,645.0844945,0.000505
91,652.2419746,0.000505
92,659.3991191,0.000505
93,666.5559244,0.000505
94,673.7123868,0.000505
95,680.8685025,0.000505
96,688.024268,0.000505
97,695.1796796,0.000505
98,702.3347334,0.000505
99,709.489426,0.000505
100,716.6437536,0.000505
101,723.7977125,0.000505
102,730.951299,0.000505
103,738.1045095,0.000505
104,745.2573402,0.000505
105,752.4097875,0.000505
106,759.5618478,0.000505
107,766.7135173,0.000505
108,773.8647923,0.000505
109,781.0156693,0.000505
110,788.1661444,0.000505
111,795.316214,0.000505
112,802.4658745,0.000505
113,809.6151222,0.000505
114,816.7639533,0.000505
115,823.9123642,0.000505
116,831.0603513,0.000505
117,838.2079108,0.000505
118,845.3550392,0.000505
119,852.5017326,0.000505
120,859.6479874,0.000505
121,866.7937999,0.000505
122,873.9391666,0.000505
123,881.0840836,0.000505
124,888.2285474,0.000505
125,895.3725542,0.000505
126,902.5161003,0.000505
127,909.6591822,0.000505
128,916.801796,0.000505
129,923.9439382,0.000505
130,931.0856051,0.000505
131,938.226793,0.000505
132,945.3674982,0.000505
133,952.507717,0.000505
134,959.6474458,0.000505
135,966.7866809,0.000505
136,973.9254187,0.000505
137,981.0636554,0.000505
138,988.2013873,0.000505
139,995.3386109,0.000505
140,1002.475322,0.000505
141,1009.611518,0.000505
142,1016.747195,0.000505
143,1023.882348,0.000505
144,1031.016974,0.000505
145,1038.151071,0.000505
146,1045.284633,0.000505
147,1052.417657,0.000505
148,1059.55014,0.000505
149,1066.682078,0.000505
150,1073.813467,0.000505
151,1080.944303,0.000505
152,1088.074584,0.000505
153,1095.204304,0.000505
154,1102.333462,0.000505
155,1109.462052,0.000505
156,1116.590071,0.000505
157,1123.717516,0.000505
158,1130.844383,0.000505
159,1137.970668,0.000505
160,1145.096368,0.000505
161,1152.221478,0.000505
162,1159.345996,0.000505
163,1166.469917,0.000505
164,1173.593238,0.000505
165,1180.715956,0.000505
166,1187.838066,0.000505
167,1194.959565,0.000505
168,1202.080449,0.000505
169,1209.200715,0.000505
