Hour,Load [W],Flow Rate [m3/s]
1,-699.52,0.000303
2,-453.59,0.000303
3,-243.42,0.000303
4,-89.19,0.000303
5,-0.01,0.000303
6,-0.01,0.000303
7,-1.26,0.000303
8,-64.03,0.000303
9,-142.54,0.000303
10,-217.11,0.000303
11,-271.36,0.000303
12,-294.37,0.000303
13,-281.9,0.000303
14,-236.38,0.000303
15,-165.95,0.000303
16,-82.62,0.000303
17,-0.01,0.000303
18,-0.01,0.000303
19,-0.01,0.000303
20,-0.01,0.000303
21,-0.01,0.000303
22,-0.01,0.000303
23,-0.01,0.000303
24,-21.76,0.000303
25,-67.07,0.000303
26,-92.73,0.000303
27,-91.27,0.000303
28,-59.7,0.000303
29,-0.01,0.000303
30,-0.01,0.000303
31,-0.01,0.000303
32,-0.01,0.000303
33,-0.01,0.000303
34,-0.01,0.000303
35,-0.01,0.000303
36,-0.01,0.000303
37,-0.01,0.000303
38,-0.01,0.000303
39,-0.01,0.000303
40,-0.01,0.000303
41,-0.01,0.000303
42,-67,0.000303
43,-107.5,0.000303
44,-118.69,0.000303
45,-102.56,0.000303
46,-65.46,0.000303
47,-16.96,0.000303
48,-0.01,0.000303
49,-0.01,0.000303
50,-0.01,0.000303
51,-0.01,0.000303
52,-0.01,0.000303
53,-0.01,0.000303
54,-63.82,0.000303
55,-128.87,0.000303
56,-183.37,0.000303
57,-216.96,0.000303
58,-222.78,0.000303
59,-199.1,0.000303
60,-150.16,0.000303
61,-86.06,0.000303
62,-21.68,0.000303
63,-0.01,0.000303
64,-0.01,0.000303
65,-0.01,0.000303
66,-95.63,0.000303
67,-249.68,0.000303
68,-452.62,0.000303
69,-685.01,0.000303
70,-918.72,0.000303
71,-1119.57,0.000303
72,-1251.11,0.000303
73,-1279.12,0.000303
74,-1176.36,0.000303
75,-926.92,0.000303
76,-529.64,0.000303
77,-0.01,0.000303
78,-0.01,0.000303
79,-0.01,0.000303
80,-0.01,0.000303
81,-0.01,0.000303
82,-0.01,0.000303
83,-0.01,0.000303
84,-0.01,0.000303
85,-0.01,0.000303
86,-0.01,0.000303
87,-0.01,0.000303
88,-0.01,0.000303
89,-0.01,0.000303
90,-1107.66,0.000303
91,-2183.38,0.000303
92,-3140.46,0.000303
93,-3899.89,0.000303
94,-4397.52,0.000303
95,-4589.89,0.000303
96,-4458.04,0.000303
97,-4009.17,0.000303
98,-3275.88,0.000303
99,-2313.12,0.000303
100,-1193.3,0.000303
101,-0.01,0.000303
102,-0.01,0.000303
103,-0.01,0.000303
104,-0.01,0.000303
105,-0.01,0.000303
106,-0.01,0.000303
107,-0.01,0.000303
108,-0.01,0.000303
109,-0.01,0.000303
110,-0.01,0.000303
111,-0.01,0.000303
112,-0.01,0.000303
113,-0.01,0.000303
114,-1035.82,0.000303
115,-1985.61,0.000303
116,-2790.42,0.000303
117,-3401.38,0.000303
118,-3782.04,0.000303
119,-3910.08,0.000303
120,-3778.17,0.000303
121,-3394.36,0.000303
122,-2781.71,0.000303
123,-1977.25,0.000303
124,-1030.29,0.000303
125,-0.01,0.000303
126,-0.01,0.000303
127,-0.01,0.000303
128,-0.01,0.000303
129,-0.01,0.000303
130,-0.01,0.000303
131,-0.01,0.000303
132,-0.01,0.000303
133,-0.01,0.000303
134,-0.01,0.000303
135,-0.01,0.000303
136,-0.01,0.000303
137,-0.01,0.000303
138,-1160.44,0.000303
139,-2244.81,0.000303
140,-3172.47,0.000303
141,-3874.29,0.000303
142,-4298.64,0.000303
143,-4415.92,0.000303
144,-4221.26,0.000303
145,-3734.95,0.000303
146,-3000.59,0.000303
147,-2081.16,0.000303
148,-1053.24,0.000303
149,-0.01,0.000303
150,-0.01,0.000303
151,-0.01,0.000303
152,-0.01,0.000303
153,-0.01,0.000303
154,-0.01,0.000303
155,-0.01,0.000303
156,-0.01,0.000303
157,-0.01,0.000303
158,-0.01,0.000303
159,-0.01,0.000303
160,-0.01,0.000303
161,-0.01,0.000303
162,-482.15,0.000303
163,-839.76,0.000303
164,-1060,0.000303
165,-1145.5,0.000303
166,-1112.33,0.000303
167,-986.76,0.000303
168,-801.02,0.000303
169,-588.96,0.000303
170,-381.82,0.000303
171,-204.86,0.000303
172,-75.05,0.000303
173,-0.01,0.000303
174,-0.01,0.000303
175,-1.06,0.000303
176,-53.83,0.000303
177,-119.81,0.000303
178,-182.44,0.000303
179,-227.97,0.000303
180,-247.25,0.000303
181,-236.73,0.000303
182,-198.46,0.000303
183,-139.29,0.000303
184,-69.33,0.000303
185,-0.01,0.000303
