Hour, Load
1,-0.01
2,-0.01
3,-0.01
4,-0.01
5,-0.01
6,-0.01
7,-0.01
8,-1234.63
9,-2152.80
10,-2720.46
11,-2943.19
12,-2861.20
13,-2541.06
14,-2065.09
15,-1520.09
16,-986.58
17,-529.93
18,-194.34
19,-0.01
20,-0.01
21,-2.74
22,-140.02
23,-312.02
24,-475.70
25,-595.10
26,-646.17
27,-619.37
28,-519.84
29,-365.28
30,-182.02
31,-0.01
32,-0.01
33,-0.01
34,-0.01
35,-0.01
36,-0.01
37,-0.01
38,-48.29
39,-149.01
40,-206.21
41,-203.15
42,-132.99
43,-0.01
44,-0.01
45,-0.01
46,-0.01
47,-0.01
48,-0.01
49,-0.01
50,-0.01
51,-0.01
52,-0.01
53,-0.01
54,-0.01
55,-0.01
56,-151.23
57,-242.87
58,-268.41
59,-232.16
60,-148.31
61,-38.46
62,-0.01
63,-0.01
64,-0.01
65,-0.01
66,-0.01
67,-0.01
68,-145.70
69,-294.49
70,-419.42
71,-496.72
72,-510.54
73,-456.71
74,-344.77
75,-197.78
76,-49.87
77,-0.01
78,-0.01
79,-0.01
80,-220.83
81,-577.11
82,-1047.21
83,-1586.41
84,-2129.70
85,-2597.79
86,-2905.79
87,-2973.70
88,-2737.43
89,-2159.06
90,-1234.86
91,-0.01
92,-0.01
93,-0.01
94,-0.01
95,-0.01
96,-0.01
97,-0.01
98,-0.01
99,-0.01
100,-0.01
101,-0.01
102,-0.01
103,-0.01
104,-2617.82
105,-5165.19
106,-7436.59
107,-9243.92
108,-10433.66
109,-10900.72
110,-10597.95
111,-9540.22
112,-7802.93
113,-5515.09
114,-2847.92
115,-0.01
116,-0.01
117,-0.01
118,-0.01
119,-0.01
120,-0.01
121,-0.01
122,-0.01
123,-0.01
124,-0.01
125,-0.01
126,-0.01
127,-0.01
128,-2506.51
129,-4809.64
130,-6765.81
131,-8255.39
132,-9188.45
133,-9508.98
134,-9197.36
135,-8271.31
136,-6785.20
137,-4827.76
138,-2518.12
139,-0.01
140,-0.01
141,-0.01
142,-0.01
143,-0.01
144,-0.01
145,-0.01
146,-0.01
147,-0.01
148,-0.01
149,-0.01
150,-0.01
151,-0.01
152,-2876.54
153,-5570.18
154,-7880.03
155,-9633.05
156,-10699.03
157,-11002.15
158,-10527.88
159,-9324.51
160,-7498.79
161,-5206.36
162,-2637.53
163,-0.01
164,-0.01
165,-0.01
166,-0.01
167,-0.01
168,-0.01
169,-0.01
170,-0.01
171,-0.01
172,-0.01
173,-0.01
174,-0.01
175,-0.01
176,-1224.93
177,-2135.70
178,-2698.63
179,-2919.31
180,-2837.74
181,-2520.00
182,-2047.80
183,-1507.23
184,-978.15
185,-525.36
186,-192.64
187,-0.01
188,-0.01
189,-2.71
190,-138.75
191,-309.17
192,-471.31
193,-589.55
194,-640.09
195,-613.49
196,-514.86
